Name,Title,Role,Department,Institution,Profile URL,Google Scholar ID
Ingmar Posner,Dr,,Department of Engineering Science,University of Oxford,https://eng.ox.ac.uk/people/ingmar-posner,dPk-iwsAAAAJ
Tom Rainforth,Dr,,Department of Statistics,University of Oxford,http://www.robots.ox.ac.uk/~twgr/,ieLRNKMAAAAJ
Stephen Roberts,Professor,,Department of Engineering Science,University of Oxford,https://eng.ox.ac.uk/people/stephen-roberts,T1lNNLkAAAAJ
Tim G. J. Rudner,Professor,,Department of Computer Science,University of Oxford,https://www.cs.ox.ac.uk/people/tim.rudner,MbBntPgAAAAJ
Christian Rupprecht,Dr,,Department of Engineering Science,University of Oxford,,IrYlproAAAAJ
Harrison Steel,Professor,,Department of Engineering Science,University of Oxford,https://eng.ox.ac.uk/people/harrison-steel,zRzmifcAAAAJ
Philip Torr,Professor,,Department of Engineering Science,University of Oxford,https://eng.ox.ac.uk/people/philip-torr,kPxa2w0AAAAJ
Niki Trigoni,Professor,,Department of Computer Science,University of Oxford,https://www.cs.ox.ac.uk/people/niki.trigoni/,185g9ckAAAAJ
Jack Umenberger,Dr,,Department of Engineering Science,University of Oxford,https://umenberger.github.io/,xXQtID8AAAAJ
Andrea Vedaldi,Professor,,Department of Engineering Science,University of Oxford,https://eng.ox.ac.uk/people/andrea-vedaldi,bRT7t28AAAAJ
Shimon Whiteson,Professor,,Department of Computer Science,University of Oxford,http://www.cs.ox.ac.uk/people/shimon.whiteson/,9zeEI-cAAAAJ
Michael Wooldridge,Professor,,Department of Computer Science,University of Oxford,http://www.cs.ox.ac.uk/people/michael.wooldridge/,JD8v9fkAAAAJ
Nobuko Yoshida,Professor,,Department of Computer Science,University of Oxford,https://www.cs.ox.ac.uk/people/nobuko.yoshida/,4T-p76AAAAAJ
Tingting Zhu,Professor,,Department of Engineering Science,University of Oxford,https://eng.ox.ac.uk/people/tingting-zhu,fjGMIl0AAAAJ
Noa Zilberman,Professor,,Department of Engineering Science,University of Oxford,https://eng.ox.ac.uk/people/noa-silberman,DDsHGFwAAAAJ
Andrew Zisserman,Professor,,Department of Engineering Science,University of Oxford,,UZ5wscMAAAAJ
